Global Rank,Institution,Country,Sector,Best Country Quartile
510,Merck & Co Inc *,MUL,Companies,1
511,"Northeastern University, USA",USA,Universities,1
512,Koninklijke Philips NV *,MUL,Companies,1
513,"AbbVie Inc, United States",USA,Companies,1
514,University of Science and Technology Beijing,CHN,Universities,1
515,Bayer *,MUL,Companies,1
516,Case Western Reserve University,USA,Universities,1
517,The Hong Kong University of Science and Technology,HKG,Universities,1
518,Aix-Marseille Universite *,FRA,Universities,1
519,"National Institute of Biological Sciences, Beijing",CHN,Government,1
520,"Siemens AG, Germany",DEU,Companies,1
521,Center for Life Sciences,CHN,Government,1
522,Centro de Biologia Molecular Severo Ochoa,ESP,Government,1
522,Universitat Politecnica de Catalunya *,ESP,Universities,1
522,West China Hospital,CHN,Health,1
525,"Alibaba Group, China",CHN,Companies,1
526,"Janssen Research & Development, LLC",BEL,Companies,1
527,University of Auckland,NZL,Universities,1
528,Tohoku University *,JPN,Universities,1
529,Siemens *,MUL,Companies,1
530,Centre de Recherche des Cordeliers,FRA,Government,1
531,University of Gothenburg,SWE,Universities,1
532,National Eye Institute,USA,Health,1
533,Max Planck Institut fur Biologie des Alterns,DEU,Government,1
534,"LG Electronics, South Korea",KOR,Companies,1
535,University of Colorado Cancer Center,USA,Health,1
535,Fraunhofer-Institut fur Zelltherapie und Immunologie,DEU,Government,1
537,Stockholm University *,SWE,Universities,1
538,"Institute of Chemistry, Chinese Academy of Sciences",CHN,Government,1
539,"University of California, Santa Barbara *",USA,Universities,1
540,King Abdullah University of Science and Technology,SAU,Universities,1
541,Rheinisch-Westfalische Technische Hochschule Aachen,DEU,Universities,1
542,Australian National University,AUS,Universities,1
543,Southwest Jiaotong University,CHN,Universities,1
544,Japan Agency for Medical Research and Development,JPN,Health,1
545,St Jude Childrens Research Hospital,USA,Health,1
546,Tehran University of Medical Sciences *,IRN,Universities,1
547,Institut Eurecom,FRA,Universities,1
548,"World Health Organization, Australia",AUS,Health,1
549,Universidad de Granada *,ESP,Universities,1
550,The University of Adelaide,AUS,Universities,1
551,"Huawei Technologies Co Ltd, Canada",CAN,Companies,1
552,Nanjing University of Science and Technology,CHN,Universities,1
553,Cardiff University,GBR,Universities,1
554,Babraham Institute,GBR,Government,1
555,Orange SA *,MUL,Companies,1
556,Medizinische Universitat Wien,AUT,Universities,1
556,"Bosch, Germany",DEU,Companies,1
558,Nestle *,MUL,Companies,2
558,Oregon Health & Science University *,USA,Universities,1
560,Foundation Medicine Inc,USA,Companies,1
561,Beth Israel Deaconess Medical Center,USA,Health,1
561,Obra Social Fundacion La Caixa,ESP,Non-Profit,1
563,Technische Universitat Dresden *,DEU,Universities,1
564,University of Cincinnati *,USA,Universities,1
564,Shanghai University,CHN,Universities,1
566,Max Planck Institut fur Biochemie,DEU,Government,1
567,Centre International de Recherche en Infectiologie,FRA,Government,1
568,Telethon Institute of Genetics and Medicine,ITA,Non-Profit,1
